Source,General_Pos,Finer_Pos
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
